,filename,outsideShape,factor,bitPerPart,radius,psnr
51,10-10-81-32-1.png,"(10, 10)",81,32,1,44.119047664706876
52,10-10-81-64-1.png,"(10, 10)",81,64,1,44.1466254376773
53,10-10-81-128-1.png,"(10, 10)",81,128,1,44.118824088345114
54,10-10-91-4-1.png,"(10, 10)",91,4,1,44.37582953490335
55,10-10-91-8-1.png,"(10, 10)",91,8,1,44.18635918343378
56,10-10-91-16-1.png,"(10, 10)",91,16,1,44.11102451640331
57,10-10-91-32-1.png,"(10, 10)",91,32,1,44.10979955198619
58,10-10-91-64-1.png,"(10, 10)",91,64,1,44.14058310251801
59,10-10-91-128-1.png,"(10, 10)",91,128,1,44.11879434608472
60,10-10-1-4-2.png,"(10, 10)",1,4,2,46.14798152087887
61,10-10-1-8-2.png,"(10, 10)",1,8,2,45.60895784118166
62,10-10-1-16-2.png,"(10, 10)",1,16,2,45.27003653093634
63,10-10-1-32-2.png,"(10, 10)",1,32,2,45.31469833853961
64,10-10-1-64-2.png,"(10, 10)",1,64,2,45.27273235629572
65,10-10-1-128-2.png,"(10, 10)",1,128,2,45.260632146365445
66,10-10-11-4-2.png,"(10, 10)",11,4,2,44.80174511654041
67,10-10-11-8-2.png,"(10, 10)",11,8,2,44.34461204788377
68,10-10-11-16-2.png,"(10, 10)",11,16,2,44.07202146392618
69,10-10-11-32-2.png,"(10, 10)",11,32,2,44.10322289193438
70,10-10-11-64-2.png,"(10, 10)",11,64,2,44.08525862231361
71,10-10-11-128-2.png,"(10, 10)",11,128,2,44.06627587445549
72,10-10-21-4-2.png,"(10, 10)",21,4,2,44.634290832370894
73,10-10-21-8-2.png,"(10, 10)",21,8,2,44.231281915141736
74,10-10-21-16-2.png,"(10, 10)",21,16,2,44.0464599615765
75,10-10-21-32-2.png,"(10, 10)",21,32,2,44.06371008850723
76,10-10-21-64-2.png,"(10, 10)",21,64,2,44.039297989747084
77,10-10-21-128-2.png,"(10, 10)",21,128,2,44.03435510954826
78,10-10-31-4-2.png,"(10, 10)",31,4,2,44.68122644405378
79,10-10-31-8-2.png,"(10, 10)",31,8,2,44.23967872340289
80,10-10-31-16-2.png,"(10, 10)",31,16,2,44.06166011044742
81,10-10-31-32-2.png,"(10, 10)",31,32,2,44.07382762151669
82,10-10-31-64-2.png,"(10, 10)",31,64,2,44.06303753004689
83,10-10-31-128-2.png,"(10, 10)",31,128,2,44.052960499489224
84,10-10-41-4-2.png,"(10, 10)",41,4,2,44.596404039059905
85,10-10-41-8-2.png,"(10, 10)",41,8,2,44.15713129866476
86,10-10-41-16-2.png,"(10, 10)",41,16,2,44.02968346185503
87,10-10-41-32-2.png,"(10, 10)",41,32,2,44.045217753730256
88,10-10-41-64-2.png,"(10, 10)",41,64,2,44.033778663226684
89,10-10-41-128-2.png,"(10, 10)",41,128,2,44.01936099991726
90,10-10-51-4-2.png,"(10, 10)",51,4,2,44.52864373824734
91,10-10-51-8-2.png,"(10, 10)",51,8,2,44.11857782282081
92,10-10-51-16-2.png,"(10, 10)",51,16,2,44.02465913014568
93,10-10-51-32-2.png,"(10, 10)",51,32,2,44.02814828144961
94,10-10-51-64-2.png,"(10, 10)",51,64,2,44.02332699875828
95,10-10-51-128-2.png,"(10, 10)",51,128,2,44.01289579944326
96,10-10-61-4-2.png,"(10, 10)",61,4,2,44.50115259384922
97,10-10-61-8-2.png,"(10, 10)",61,8,2,44.110115870042605
98,10-10-61-16-2.png,"(10, 10)",61,16,2,44.037081690328705
99,10-10-61-32-2.png,"(10, 10)",61,32,2,44.00776885075373
