,filename,outsideShape,factor,bitPerPart,radius,psnr
51,10-10-80-32-1.png,"(10, 10)",80,32,1,44.105127726114105
52,10-10-80-64-1.png,"(10, 10)",80,64,1,44.14293767999613
53,10-10-80-128-1.png,"(10, 10)",80,128,1,44.11776153954015
54,10-10-90-4-1.png,"(10, 10)",90,4,1,44.385171181116405
55,10-10-90-8-1.png,"(10, 10)",90,8,1,44.17040327903443
56,10-10-90-16-1.png,"(10, 10)",90,16,1,44.11517377802098
57,10-10-90-32-1.png,"(10, 10)",90,32,1,44.1107350941991
58,10-10-90-64-1.png,"(10, 10)",90,64,1,44.1454438810868
59,10-10-90-128-1.png,"(10, 10)",90,128,1,44.11455851404831
60,10-10-100-4-1.png,"(10, 10)",100,4,1,44.37201694865113
61,10-10-100-8-1.png,"(10, 10)",100,8,1,44.16653025418462
62,10-10-100-16-1.png,"(10, 10)",100,16,1,44.128754870807185
63,10-10-100-32-1.png,"(10, 10)",100,32,1,44.11202760394766
64,10-10-100-64-1.png,"(10, 10)",100,64,1,44.15702548216211
65,10-10-100-128-1.png,"(10, 10)",100,128,1,44.09887205865776
66,10-10-1-4-2.png,"(10, 10)",1,4,2,46.14798152087887
67,10-10-1-8-2.png,"(10, 10)",1,8,2,45.60895784118166
68,10-10-1-16-2.png,"(10, 10)",1,16,2,45.27003653093634
69,10-10-1-32-2.png,"(10, 10)",1,32,2,45.31469833853961
70,10-10-1-64-2.png,"(10, 10)",1,64,2,45.27273235629572
71,10-10-1-128-2.png,"(10, 10)",1,128,2,45.260632146365445
72,10-10-10-4-2.png,"(10, 10)",10,4,2,44.87312441443608
73,10-10-10-8-2.png,"(10, 10)",10,8,2,44.38445520427236
74,10-10-10-16-2.png,"(10, 10)",10,16,2,44.08631410331481
75,10-10-10-32-2.png,"(10, 10)",10,32,2,44.12314318833815
76,10-10-10-64-2.png,"(10, 10)",10,64,2,44.10949917153329
77,10-10-10-128-2.png,"(10, 10)",10,128,2,44.08041756314984
78,10-10-20-4-2.png,"(10, 10)",20,4,2,44.637919842698864
79,10-10-20-8-2.png,"(10, 10)",20,8,2,44.25262739776435
80,10-10-20-16-2.png,"(10, 10)",20,16,2,44.04093435397206
81,10-10-20-32-2.png,"(10, 10)",20,32,2,44.06545474317258
82,10-10-20-64-2.png,"(10, 10)",20,64,2,44.03410428751939
83,10-10-20-128-2.png,"(10, 10)",20,128,2,44.03116975982597
84,10-10-30-4-2.png,"(10, 10)",30,4,2,44.668095743168365
85,10-10-30-8-2.png,"(10, 10)",30,8,2,44.25764124606711
86,10-10-30-16-2.png,"(10, 10)",30,16,2,44.07031679569765
87,10-10-30-32-2.png,"(10, 10)",30,32,2,44.05685646067656
88,10-10-30-64-2.png,"(10, 10)",30,64,2,44.05765089148203
89,10-10-30-128-2.png,"(10, 10)",30,128,2,44.052573883226465
90,10-10-40-4-2.png,"(10, 10)",40,4,2,44.59562063015228
91,10-10-40-8-2.png,"(10, 10)",40,8,2,44.15149284277569
92,10-10-40-16-2.png,"(10, 10)",40,16,2,44.02954213727709
93,10-10-40-32-2.png,"(10, 10)",40,32,2,44.043969687069584
94,10-10-40-64-2.png,"(10, 10)",40,64,2,44.03693533083148
95,10-10-40-128-2.png,"(10, 10)",40,128,2,44.026137942715394
96,10-10-50-4-2.png,"(10, 10)",50,4,2,44.541610392068264
97,10-10-50-8-2.png,"(10, 10)",50,8,2,44.142617662146996
98,10-10-50-16-2.png,"(10, 10)",50,16,2,44.03577957428426
