,filename,outsideShape,factor,bitPerPart,radius,psnr,robustCheck,fragileRedCheck,fragileGreenCheck,fragileBlueCheck
1214,100-100-40-16-21.png,"(100, 100)",40,16,21,38.85550165635301,0.9358552631578948,1.0,1.0,1.0
1201,100-100-20-8-21.png,"(100, 100)",20,8,21,41.81236584245354,0.9358552631578948,1.0,1.0,1.0
1268,100-100-20-16-31.png,"(100, 100)",20,16,31,43.90109982548651,0.9358552631578948,1.0,1.0,1.0
1550,200-200-50-16-41.png,"(200, 200)",50,16,41,37.0701887565899,0.9357638888888888,1.0,1.0,1.0
1490,200-200-60-16-21.png,"(200, 200)",60,16,21,34.46198026138604,0.9357638888888888,1.0,1.0,1.0
1622,200-200-60-16-61.png,"(200, 200)",60,16,61,39.37341827270476,0.9357638888888888,1.0,1.0,1.0
1646,200-200-100-16-61.png,"(200, 200)",100,16,61,36.80148161295085,0.9357638888888888,1.0,1.0,1.0
2006,250-250-40-16-101.png,"(250, 250)",40,16,101,43.67672698261074,0.9352678571428572,1.0,1.0,1.0
1862,250-250-20-16-51.png,"(250, 250)",20,16,51,42.048990471412736,0.9352678571428572,1.0,1.0,1.0
1130,100-100-10-16-11.png,"(100, 100)",10,16,11,40.72226420086941,0.935032894736842,1.0,1.0,1.0
1292,100-100-60-16-31.png,"(100, 100)",60,16,31,39.201650308933445,0.935032894736842,1.0,1.0,1.0
2332,500-500-30-64-201.png,"(500, 500)",30,64,201,43.38397796407936,0.9348958333333334,1.0,1.0,1.0
1611,200-200-40-32-61.png,"(200, 200)",40,32,61,40.65500920993493,0.9348958333333334,1.0,1.0,1.0
2255,500-500-10-128-151.png,"(500, 500)",10,128,151,44.53195999443509,0.9348958333333334,1.0,1.0,1.0
2283,500-500-60-32-151.png,"(500, 500)",60,32,151,39.06764129019214,0.9348958333333334,1.0,1.0,1.0
1200,100-100-20-4-21.png,"(100, 100)",20,4,21,42.29108350796993,0.9342105263157896,1.0,1.0,1.0
1272,100-100-30-4-31.png,"(100, 100)",30,4,31,42.647762231192814,0.9342105263157896,1.0,1.0,1.0
1279,100-100-40-8-31.png,"(100, 100)",40,8,31,41.26959973644997,0.9342105263157896,1.0,1.0,1.0
1351,100-100-50-8-41.png,"(100, 100)",50,8,41,41.96258101255262,0.9342105263157896,1.0,1.0,1.0
1345,100-100-40-8-41.png,"(100, 100)",40,8,41,43.04754269373202,0.9342105263157896,1.0,1.0,1.0
1941,250-250-40-32-76.png,"(250, 250)",40,32,76,39.79275513720962,0.9341517857142856,1.0,1.0,1.0
2043,250-250-100-32-101.png,"(250, 250)",100,32,101,37.19132293109383,0.9341517857142856,1.0,1.0,1.0
1863,250-250-20-32-51.png,"(250, 250)",20,32,51,40.48727967600817,0.9341517857142856,1.0,1.0,1.0
1931,250-250-20-128-76.png,"(250, 250)",20,128,76,41.0434500148597,0.9341517857142856,1.0,1.0,1.0
2002,250-250-30-64-101.png,"(250, 250)",30,64,101,43.24197799111686,0.9341517857142856,1.0,1.0,1.0
